Household,Family Size,Location,Ownership,First Income,Second Income,Monthly Payment,Utilities,Debt
318,4,3,1,"$24,493",,"$1,136",$268,"$4,678"
319,3,1,1,"$41,965","$36,335","$1,242",$256,"$6,195"
320,2,1,0,"$69,615","$63,710","$1,038",$205,"$4,300"
321,3,2,1,"$41,069",,"$1,493",$259,"$3,374"
322,1,4,0,"$22,091",,$613,$208,"$2,562"
323,6,1,1,"$40,813","$21,383","$1,039",$266,"$5,677"
324,3,3,1,"$40,742",,"$1,403",$258,"$4,857"
325,3,3,0,"$21,699","$13,704",$418,$212,"$3,074"
326,3,3,0,"$24,430","$20,987",$610,$214,"$2,269"
327,2,3,1,"$49,744",,"$1,734",$254,"$5,868"
328,4,4,0,"$19,316","$10,680",$760,$212,"$3,452"
329,8,1,1,"$52,862","$42,294","$1,042",$279,"$8,323"
330,3,2,0,"$83,859","$65,582","$1,166",$209,"$5,906"
331,2,2,1,"$46,023","$30,393","$1,589",$245,"$5,452"
332,1,4,0,"$26,351",,$623,$201,"$2,097"
333,4,1,1,"$50,383","$35,749",$614,$266,"$6,669"
334,5,1,1,"$36,630","$22,871","$1,295",$268,"$7,437"
335,6,1,1,"$39,773",,$853,$272,"$5,070"
336,2,3,0,"$38,891","$23,808","$1,060",$202,"$1,664"
337,5,3,1,"$42,323","$28,427",$866,$279,"$5,509"
338,3,2,1,"$43,891","$43,745","$1,707",$257,"$6,445"
339,5,2,1,"$71,659","$70,436","$1,138",$267,"$5,896"
340,5,3,0,"$35,241","$18,677",$553,$221,"$3,903"
341,5,4,0,"$17,881","$10,509",$558,$217,"$2,818"
342,3,4,0,"$35,310","$25,405",$675,$203,"$2,738"
343,3,4,0,"$25,167","$19,673",$519,$210,"$2,468"
344,1,4,0,"$24,859",,$509,$201,"$2,119"
345,4,1,0,"$38,993","$26,866",$921,$208,"$3,089"
346,5,3,1,"$30,384","$24,582","$1,432",$264,"$6,805"
347,3,2,1,"$56,967","$37,901","$1,050",$268,"$7,739"
348,1,4,1,"$53,283",,$974,$248,"$3,745"
349,4,1,1,"$44,436","$32,162","$1,217",$264,"$6,412"
350,4,4,0,"$30,527","$27,055",$765,$209,"$2,204"
351,5,2,1,"$95,583","$71,599","$1,253",$262,"$9,104"
352,5,3,0,"$24,064","$18,095",$755,$218,"$3,874"
353,2,4,0,"$28,950","$18,542",$427,$205,"$2,067"
354,2,3,0,"$33,176","$23,897",$711,$201,"$3,032"
355,4,2,0,"$37,297","$28,010","$1,830",$212,"$5,425"
356,3,1,1,"$33,653","$26,704","$1,055",$266,"$3,773"
357,2,3,0,"$33,723","$27,480",$622,$192,"$1,588"
358,2,1,0,"$45,572","$23,213",$931,$202,"$4,325"
359,3,1,0,"$46,672","$28,877","$1,054",$215,"$2,258"
360,2,2,1,"$37,093","$18,561","$1,287",$248,"$3,511"
361,2,3,0,"$36,588","$32,728",$729,$199,"$3,123"
362,2,2,1,"$43,934","$41,731","$1,802",$252,"$5,914"
363,3,4,0,"$28,068","$17,927",$603,$206,"$3,203"
364,1,2,1,"$75,737",,"$1,596",$249,"$5,542"
365,6,1,1,"$37,107","$30,047","$1,331",$271,"$7,349"
366,4,2,1,"$62,634","$59,352","$1,355",$256,"$4,343"
367,3,2,1,"$63,946","$62,523","$1,321",$251,"$6,548"
368,3,3,0,"$35,943","$20,494",$568,$214,"$3,001"
369,1,4,1,"$24,992",,$579,$242,"$3,225"
370,5,2,1,"$48,643","$36,651","$1,439",$264,"$6,628"
371,2,3,0,"$27,160","$26,619",$707,$201,"$2,765"
372,4,2,1,"$49,699",,"$1,516",$250,"$5,072"
373,2,2,1,"$47,659","$26,827","$1,051",$257,"$5,891"
374,3,3,0,"$39,778","$33,336",$812,$212,"$2,326"
375,7,1,0,"$31,090","$21,586",$694,$231,"$4,468"
376,2,3,1,"$42,708","$41,601",$753,$253,"$6,474"
377,4,3,0,"$31,238","$29,402",$827,$216,"$3,579"
378,1,2,1,"$60,240",,$989,$252,"$4,161"
379,4,1,0,"$37,117","$34,071",$523,$206,"$4,268"
380,4,2,0,"$43,832","$32,996",$760,$200,"$3,188"
381,1,3,0,"$35,105",,$960,$201,"$2,372"
382,3,2,0,"$45,609","$29,602",$991,$209,"$3,848"
383,4,1,1,"$41,914","$38,478","$1,223",$270,"$5,346"
384,3,1,1,"$51,202","$29,289","$1,619",$267,"$6,031"
385,3,4,0,"$22,393","$11,802",$549,$213,"$3,051"
386,3,1,0,"$49,447","$36,562",$854,$208,"$4,042"
387,5,2,1,"$83,363","$72,930","$1,799",$267,"$6,072"
388,2,4,0,"$25,997","$13,295",$566,$209,"$1,817"
389,4,4,0,"$46,656","$31,044",$671,$210,"$2,493"
390,3,2,1,"$56,857","$49,696","$1,533",$247,"$7,728"
391,5,1,1,"$49,943","$34,731",$873,$267,"$6,309"
392,1,1,1,"$72,515",,"$1,085",$250,"$6,349"
393,2,1,0,"$53,248","$44,398",$490,$192,"$1,827"
394,2,2,1,"$35,572","$31,433",$914,$249,"$3,566"
395,4,3,1,"$32,425","$31,348","$1,176",$253,"$5,659"
396,2,3,0,"$46,271","$40,282",$941,$208,"$1,490"
397,3,1,1,"$85,621","$81,979","$1,827",$260,"$6,289"
398,2,1,1,"$25,076","$21,758","$1,081",$252,"$3,388"
399,2,4,0,"$38,697","$24,277",$765,$203,"$4,138"
400,5,4,0,"$32,794","$32,704",$405,$216,"$3,187"
401,2,4,0,"$26,101","$13,983",$538,$204,"$2,049"
402,8,4,0,"$25,655","$23,464",$493,$234,"$3,826"
403,3,3,0,"$44,158","$32,616",$719,$225,"$2,609"
404,6,3,1,"$24,114","$13,577",$925,$265,"$4,894"
405,5,4,0,"$24,503","$16,321",$453,$218,"$1,974"
406,1,2,1,"$48,914",,"$1,153",$249,"$5,167"
407,4,4,0,"$23,695","$16,558",$510,$211,"$2,722"
408,5,4,1,"$30,372",,$799,$279,"$4,205"
409,2,3,0,"$24,306","$15,467",$540,$199,"$3,300"
410,2,1,1,"$35,079","$29,542",$961,$257,"$5,067"
411,1,1,0,"$25,886",,$820,$205,"$1,551"
412,2,1,0,"$45,625","$40,583",$887,$199,"$3,250"
413,3,3,1,"$39,341","$34,520",$773,$270,"$6,248"
414,2,4,1,"$32,433","$22,666",$780,$248,"$3,482"
415,2,1,0,"$64,570","$62,590",$931,$202,"$3,311"
416,2,2,1,"$55,665",,"$1,048",$252,"$6,545"
417,5,4,0,"$31,657","$31,596",$530,$213,"$2,780"
418,4,2,1,"$85,374","$53,417","$1,103",$255,"$6,845"
419,1,2,1,"$76,800",,"$1,237",$258,"$4,260"
420,2,3,1,"$38,681","$33,853",$956,$251,"$5,524"
421,9,4,0,"$26,380","$22,382",$648,$232,"$4,229"
422,6,1,1,"$71,206","$56,268","$1,009",$276,"$6,647"
423,2,2,1,"$69,863","$57,019","$1,705",$245,"$5,764"
424,2,3,0,"$37,435","$21,724",$996,$201,"$4,289"
425,3,2,0,"$42,419","$40,654","$1,187",$206,"$2,911"
426,1,3,0,"$43,482",,$735,$200,"$1,783"
427,5,1,1,"$48,439","$44,434","$1,147",$262,"$5,940"
428,1,2,0,"$45,038",,$984,$201,"$2,030"
429,1,4,0,"$33,087",,$633,$211,$818
430,1,2,1,"$45,993",,"$1,689",$248,"$4,652"
431,3,3,1,"$45,220","$25,914",$994,$257,"$5,226"
432,1,3,0,"$29,407",,$857,$203,"$2,685"
433,3,3,1,"$34,933","$21,844","$1,705",$256,"$6,158"
434,4,2,1,"$49,206","$37,614",$980,$259,"$5,567"
435,4,3,1,"$61,764",,"$1,066",$250,"$6,303"
436,2,2,1,"$64,982","$34,370","$1,700",$261,"$5,562"
437,3,3,0,"$20,844","$11,948",$861,$216,"$1,656"
438,2,1,0,"$53,607","$33,620",$831,$194,"$2,489"
